Laenge,Hauptwort,Vorschlag,Binnen
25,Pädagogischer Mitarbeiter,Pädagogische Mitarbeiterin bzw. pädagogischer Mitarbeiter,Y
25,ViennaGIS Ansprechpartner,ViennaGIS Ansprechpartnerin bzw. ViennaGIS Ansprechpartner,N
25,Wissenschaftlicher Leiter,wissenschaftliche Leiterin bzw. wissenschaftlicher Leiter,N
25,Zweiter Landtagspräsident,Zweite Landtagspräsidentin bzw. Zweiter Landtagspräsident,N
24,Angehörige des Instituts,das Institut,N
24,Entwicklungsbeauftragter,Entwicklungsbeauftragte bzw. -beauftragter,N
24,Ereignis an den Benutzer,Ereignis an BenutzerInnen,Y
24,Ereignis an den Benutzer,Ereignis an Benutzerinnen und Benutzer,N
24,Erster Landtagspräsident,Erste Landtagspräsidentin bzw. Erster Landtagspräsident,N
24,Formularverantwortlicher,Formularverantwortliche bzw. Formularverantwortlicher,N
24,Kinder- und Jugendanwalt,Kinder- und Jugendanwältin bzw. -anwalt,N
24,Kontraktverantwortlicher,Kontraktverantwortliche bzw. -verantwortlicher,N
24,Leitender Sozialarbeiter,Leitende Sozialarbeiterin bzw. leitender Sozialarbeiter,N
24,Nachwuchswissenschaftler,wissenschaftlicher Nachwuchs,N
24,Organisatorischer Leiter,Organisatorische Leitung,N
24,Pädagogische Mitarbeiter,Pädagogische MitarbeiterInnen,Y
24,Rechtsanwaltsbeistellung,Beistellung einer Rechtsanwältin bzw. eines Rechtsanwaltes,N
24,SAP SRM-Verantwortlicher,SAP SRM-Verantwortliche bzw. -Verantwortlicher,N
24,Sonder- und Heilpädagoge,Sonder- und Heilpädagogin bzw. Sonder- und Heilpädagoge,N
24,Technik-Verantwortlicher,Technik-Verantwortliche bzw. -Verantwortlicher,N
23,Ausbildungsbeauftragter,Ausbildungsbeauftragte bzw. Ausbildungsbeauftragter,N
23,Außendienstmitarbeitern,Außendienstmitarbeiterinnen und Außendienstmitarbeitern,N
23,Bautechnischer Zeichner,Bautechnische Zeichnerin bzw. bautechnischer Zeichner,N
23,Bautechnischer Zeichner,Bautechnische ZeichnerInnen,Y
23,Benutzerstellvertretung,BenutzerInnenstellvertretung,Y
23,Benutzerstellvertretung,Benutzerinnenstellvertretung und Benutzerstellvertretung,N
23,Betriebsoberinspektoren,BetriebsoberinspektorInnen,Y
23,Brandschutzbeauftragter,Brandschutzbeauftragte bzw. -beauftragter,N
23,Dipl. Physiotherapeutin,Dipl. Physiotherapeutin bzw. Dipl. Physiotherapeut,N
23,E-Rechtverantwortlicher,E-Rechtverantwortliche bzw. -verantwortlicher,N
23,Gefahrengutbeauftragter,Gefahrengutbeauftragte bzw.- beauftragter,N
23,Jungbürgerveranstaltung,Veranstaltung für Jungbürgerinnen und Jungbürger,N
23,Kaufmännischer Referent,betriebswirtschafliche Referentin bzw. betriebswirtschaflicher Referent,N
23,Kindergartenassistentin,Kindergartenassistentin bzw. assistent,N
23,Maschinenbauingenieuren,Maschinenbauingenieurinnen und Maschinenbauingenieuren,N
23,Mitarbeiter in Teilzeit,Teilzeitkraft,N
23,Name des Antragstellers,Ihr Name,N
23,Öffentlichkeitsarbeiter,Öffentlichkeitsarbeiterin bzw. -arbeiter,N
23,Prozessverantwortlicher,Prozessverantwortliche bzw. Prozessverantwortlicher,N
23,Uhrmacherlehrwerkstätte,Lehrwerkstätte für Uhrmacherinnen und Uhrmacher,N
23,Universitätsassistenten,UniversitätsassistentInnen,N
23,Universitätsassistenten,UniversitätsassistentInnen,Y
23,Verwaltungsbediensteter,Verwaltungsbedienstete bzw. Verwaltungsbediensteter,N
23,Zeitgeber des Benutzers,ZeitgeberIn der BenutzerInnen,Y
23,Zeitgeber des Benutzers,Zeitgeberin bzw. Zeitgeber der Benutzerinnen und Zeitgeberin bzw. Zeitgeber der Benutzer,N
22,administrativer Leiter,administrative Leiterin und administrativer Leiter,N
22,administrativer Leiter,administrative Leitung,N
22,Amtsführender Stadtrat,Amtsführende Stadträtin bzw. amtsführender Stadtrat,N
22,Amtsführender Stadtrat,Amtsführende StadträtInnen,Y
22,Amtsführender Stadtrat,amtsführende Stadträtin bzw. amtsführender Stadtrat,N
22,Amtsführender Stadtrat,amtsführende StadträtInnen,N
22,Ärzteausbildungsstelle,Ausbildungsstelle für Ärztinnen und Ärzte,N
22,Ärzteausbildungsstelle,Ausbildungsstelle für Ärztinnen und Ärzte,N
22,Außendienstmitarbeiter,Außendienstmitarbeiterin und Außendienstmitarbeiter,N
22,Außendienstmitarbeiter,AußendienstmitarbeiterInnen,Y
22,Außendienstmitarbeiter,Außendienstmitarbeiterinnen und Außendienstmitarbeiter,N
22,fachmännische Auskunft,fachkundige Auskunft,N
22,Landessanitätsdirektor,Landessanitätsdirektorin bzw. -direktor,N
22,Lehrwerkstättengehilfe,Lehrwerkstättengehilfin bzw. Lehrwerkstättengehilfe,N
22,Lehrwerkstättenmeister,Lehrwerkstättenmeisterin bzw. Lehrwerkstättenmeister,N
22,Maschinenbauingenieure,Maschinenbauingenieurinnen und Maschinenbauingenieure,N
22,Otto Normalverbraucher,Normalverbraucherin bzw. - verbraucher,N
22,Prozessveranwortlicher,Prozessverantwortliche bzw. -verantwortlicher,N
22,Sprachwissenschaftlern,Sprachwissenschaftlerinnen und Sprachwissenschaftlern,N
22,Veranstaltungsreferent,Veranstaltungsreferentin bzw. -referent,N
22,Veranstaltungsreferent,VeranstaltungsreferentInnen,Y
22,zuständiger Bearbeiter,zuständige Person,N
22,zuständiger Bearbeiter,zuständig,N
21,abstrakter Teilnehmer,abstrakte TeilnehmerInnen,Y
21,abstrakter Teilnehmer,abstrakte Teilnehmerinnen und abstrakte Teilnehmer,N
21,Agrarwissenschaftlern,Agrarwissenschaftlerinnen und Agrarwissenschaftlern,N
21,Arbeitsgruppenmanager,Arbeitsgruppenmanagerin bzw. - manager,N
21,Benutzereinstellungen,BenutzerInneneinstellungen,Y
21,Benutzereinstellungen,Benutzerinneneinstellungen und Benutzereinstellungen,N
21,Benutzerinformationen,BenutzerInneninformationen,Y
21,Benutzerinformationen,Benutzerinneninformationen und Benutzerinformationen,N
21,Benutzerkalenderliste,BenutzerInnenkalenderliste,Y
21,Benutzerkalenderliste,Benutzerinnenkalenderliste und Benutzerkalenderliste,N
21,Betriebsoberinspektor,Betriebsoberinspektorin bzw. - oberinspektor,N
21,Betriebsorganisatoren,BetriebsorganisatorInnen,Y
21,Blutdepotbeauftragter,Blutdepotbeauftragte bzw. -beauftragter,N
21,Bundespräsidentenwahl,Bundespräsidentschaftswahl,N
21,Datenverantwortlicher,Datenverantwortliche bzw. -verantwortlicher,N
21,den Krankenschwestern,den Krankenschwestern und Krankenpflegern,N
21,den Krankenschwestern,Pflegepersonal,N
21,Desinfektionsgehilfen,Desinfektionsgehilfinnen und -gehilfen,N
21,Dipl. Ergotherapeutin,Dipl. Ergotherapeutin bzw. Dipl. Ergotherapeut,N
21,Diplomierter Logopäde,Diplomierte Logopädin bzw. Diplomierter Logopäde,N
21,Elektroinstallateuren,Elektroinstallateurinnen und Elektroninstallateuren,N
21,Kaufmännischer Leiter,Betriebswirtschafliche Leitung,N
21,Kindergartenpädagogin,Kindergartenpädagogin bzw. -pädagoge,N
21,Kindersingschulleiter,Kindersingschulleiterin bzw. -leiter,N
21,Kindersingschulleiter,Kindersingschulleitung,N
21,Klinische Psychologen,Klinische Psychologinnen und Psychologen,N
21,Klinischer Psychologe,Klinische Psychologin bzw. klinischer Psychologe,N
21,Maschinenbauingenieur,Maschinenbauingenieurin bzw. Maschinenbauingenieur,N
21,Obduktionsassistenten,ObduktionsassistentInnen,Y
21,Operationsassistenten,OperationsassistentInnen,Y
21,Organisationsreferent,Organisationsreferentin bzw. -referent,N
21,Patientenorientierung,PatientInnenorientierung,Y
21,Personalstellenleiter,Personalstellenleiterin bzw. -leiter,N
21,Qualitätsbeauftragter,Qualitätsbeauftragte bzw. -beauftragter,N
21,Radiologietechnologen,RadiologietechnologInnen,Y
21,Rechnungsamtsdirektor,RechnungsamtsdirektorInnen,Y
21,Rechnungsamtsdirektor,Rechnungsamtsdirektorin bzw. -direktor,N
21,Sprachwissenschaftler,Sprachwissenschaftlerin bzw. Sprachwissenschaftler,N
21,Sprachwissenschaftler,Sprachwissenschaftlerinnen und Sprachwissenschaftler,N
21,Systemadministratoren,SystemadministratorInnen,Y
21,Technischer  Zeichner,Technische  Zeichnerin bzw. Technischer Zeichner,N
21,Technischer Assistent,Technische Assistentin bzw. Technischer Assistent,N
21,Technischer Assistent,Technische Assistenz,N
21,Universitätsassistent,Universitätsassistentin bzw. -assistent,N
21,vertretender Benutzer,vertretende BenutzerIn,Y
21,vertretender Benutzer,vertretende Benutzerin bzw. vertretender Benutzer,N
21,ViennaGIS Koordinator,ViennaGIS Koordinatorin bzw. ViennaGIS Koordinator,N
21,Wäschereibediensteter,Wäschereibedienstete bzw. -bediensteter,N
21,Ziviltechnikerprüfung,Prüfung der ZiviltechnikerInnen,Y
20,Agrarwissenschaftler,Agrarwissenschaftlerin und Agrarwissenschaftler,N
20,Agrarwissenschaftler,Agrarwissenschaftlerinnen und Agrarwissenschaftler,N
20,Alternativmedizinern,AlternativmedizinerInnen,Y
20,Alternativmedizinern,Alternativmedizinerinnen und Alternativmedizinern,N
20,Ausbildungstechniker,Ausbildungstechnikerin bzw. Ausbildungstechniker,N
20,Ausbildungstechniker,AusbildungstechnikerInnen,Y
20,Bezirkskoordinatoren,BezirkskoordinatorInnen,Y
20,Bezirkskoordinatoren,Bezirkskoordinatorinnen und -koordinatoren,N
20,Desinfektionsgehilfe,Desinfektionsgehilfin bzw. -gehilfe,N
20,Diplomsozialarbeiter,Diplomsozialarbeiterin bzw. -sozialarbeiter,N
20,Direktionssekretärin,Direktionssekretärin bzw. Direktionssekretär,N
20,Einbautenkoordinator,Einbautenkoordinatorin bzw. -koordinator,N
20,Elektroinstallateure,Elektroinstallateurinnen und Elektroninstallateure,N
20,Fachabteilungsleiter,Fachabteilungsleitung,N
20,Fremdenführerprüfung,Prüfung von FremdenführerInnen,Y
20,Gartenbezirksleitern,Gartenbezirksleiterinnen und Gartenbezirksleitern,N
20,Herstellerspezifisch,herstellungsspezifisch,N
20,Kontrollamtsdirektor,Kontrollamtsdirektorin bzw. -direktor,N
20,Landesschulinspektor,Landesschulinspektorin bzw. - inspektor,N
20,Lehrlingskoordinator,Lehrlingskoordinatorin bzw. Lehrlingskoordinator,N
20,Pädagogischer Leiter,Pädagogische Leiterin bzw. Leiter,N
20,Pädagogischer Leiter,Pädagogische Leitung,N
20,Radiologietechnologe,Radiologietechnologin bzw. Radiologietechnologe,N
20,Rettungsdienstleiter,Rettungsdienstleiterin bzw. -leiter,N
20,Sachwalterbestellung,Bestellung einer Sachwalterin bzw. eines Sachwalters,N
20,Seniorenbeauftragter,Seniorenbeauftragte bzw. Seniorenbeauftragter,N
20,SES-Zeitbeauftragter,SES-Zeitbeauftragte bzw. SES-Zeitbeauftragter,N
20,Vermessungstechniker,Vermessungstechnikerin bzw. Vermessungstechniker,N
20,Versicherungsmaklern,Versicherungsmaklerinnen und Versicherungsmaklern,N
19,Alternativmediziner,Alternativmedizinerin und Alternativmediziner,N
19,Alternativmediziner,AlternativmedizinerInnen,Y
19,Alternativmediziner,Alternativmedizinerinnen und Alternativmediziner,N
19,Anbieterverzeichnis,AnbieterInnenverzeichnis,Y
19,Anbieterverzeichnis,Anbieterinnenverzeichnis und Anbieterverzeichnis,N
19,Ausbildungsjuristen,AusbildungsjuristInnen,Y
19,Ausbildungsreferent,Ausbildungsreferentin und Ausbildungsreferent,N
19,Ausbildungsreferent,AusbildungsreferentInnen,Y
19,Behindertenbetreuer,Behindertenbetreuerin bzw.-betreuer,N
19,Behindertenbetreuer,BehindertenbetreuerInnen,Y
19,Benutzerstatistiken,BenutzerInnenstatistiken,Y
19,Benutzerstatistiken,Benutzerinnenstatistiken und Benutzerstatistiken,N
19,Betriebsassistenten,BetriebsassistentInnen,Y
19,Betriebsinspektoren,BetriebsinspektorInnen,Y
19,Betriebskontrollore,BetriebskontrollorInnen,Y
19,Betriebsorganisator,Betriebsorganisatorin bzw. - organisator,N
19,Budgetkoordinatoren,BudgetkoordinatorInnen,Y
19,Budgetkoordinatoren,Budgetkoordinatorinnen und -koordinatoren,N
19,Datenschutzreferent,Datenschutzreferentin bzw. -referent,N
19,der ein oder andere,die eine oder der andere,N
19,Dienststellenleiter,Dienstellenleiterin bzw. -leiter,N
19,Dienststellenleiter,DienststellenleiterInnen,Y
19,Dienststellenleiter,Dienststellenleitung,N
19,Dipl. Ergotherapeut,Dipl. Ergotherapeutin bzw. Dipl. Ergotherapeut,N
19,EDV-Ansprechpartner,EDV-Ansprechpartnerin bzw. -partner,N
19,EDV-Ansprechpartner,EDV-AnsprechpartnerInnen,Y
19,Elektroinstallateur,Elektroinstallateurin und Elektroinstallateur,N
19,Elektrokarrenführer,Elektrokarrenführerin bzw. Elektrokarrenführer,N
19,Elektrokarrenführer,Elektrokarrenführerinnen und -führer,N
19,Entwicklungspartner,Entwicklungspartnerin bzw. Entwicklungspartner,N
19,Entwicklungspartner,EntwicklungspartnerInnen,Y
19,EU-Förderreferenten,EU-FörderreferentInnen,Y
19,Fachbereichsmanager,Fachbereichsmanagerin bzw. -manager,N
19,Fachwissenschaftler,Fachforschende,N
19,Familientherapeuten,FamilientherapeutInnen,Y
19,Gartenbezirksleiter,Gartenbezirksleiterin bzw. -leiter,N
19,Gartenbezirksleiter,GartenbezirksleiterInnen,Y
19,Gartenbezirksleiter,Gartenbezirksleiterinnen und Gartenbezirksleiter,N
19,Geschäftsfeldleiter,Geschäftsfeldleiterin bzw. -leiter,N
19,Gesundheitsreferent,Gesundheitsreferentin bzw. Gesundheitsreferent,N
19,Hausprofessionisten,HausprofessionistInnen,Y
19,Konsumentenberatung,Beratung von Konsumentinnen und Konsumenten,N
19,Kooperationspartner,in Kooperation mit,N
19,Kraftfahrzeuglenker,KraftfahrzeuglenkerInnen,Y
19,Maschinenschlossern,Maschinenschlosserinnen und Maschinenschlossern,N
19,Nachbareinwendungen,Einwendungen von Nachbarinnen und Nachbarn,N
19,Niederösterreichern,Niederösterreicherinnen und Niederösterreichern,N
19,Obduktionsassistent,Obduktionsassistentin bzw. Obduktionsassistent,N
19,Operationsassistent,Operationsassistentin bzw. Operationsassistent,N
19,Ordinationsgehilfin,Ordinationsgehilfin bzw. - gehilfe,N
19,Pädagogische Leiter,Pädagogische LeiterInnen,Y
19,Patientenversorgung,ärztliche Versorgung,N
19,Radfahrbeauftragter,Radfahrbeauftragte bzw. -beauftragter,N
19,Registerkoordinator,Registerkoordinatorin bzw. -koordinator,N
19,Sanitätsoberrevisor,Sanitätsoberrevisorin bzw. -revisor,N
19,Schlittschuhläufern,Schlittschuhläuferinnen und Schlittschuhläufern,N
19,Systemadministrator,Systemadministratorin bzw. -administratoren,N
19,Versicherungsmakler,Versicherungsmaklerin und Versicherungsmakler,N
19,Versicherungsmakler,VersicherungsmaklerInnen,Y
19,Versicherungsmakler,Versicherungsmaklerinnen und Versicherungsmakler,N
19,Wirtschaftsreferent,Wirtschaftsreferentin bzw. Wirtschaftsreferent,N
19,Zahlungspflichtiger,zahlungspflichtig sein,N
19,Zahlungspflichtiger,Zahlungspflichtige,N
18,aktueller Benutzer,aktuelle BenutzerIn,Y
18,aktueller Benutzer,aktuelle Benutzerin bzw. aktueller Benutzer,N
18,aktueller Benutzer,aktuell,N
18,alle Mann an Bord!,alle an Bord!,N
18,Anwaltsassistenten,Anwaltsassistentinnen und Anwaltsassistenten,N
18,anwenderfreundlich,anwendungsfreundlich,N
18,anwenderfreundlich,einfach anzuwenden,N
18,anwenderfreundlich,anwendungsfreundlich,N
18,anwenderfreundlich,praxisnah,Y
18,benutzerfreundlich,bedienungsfreundlich,N
18,benutzerfreundlich,leicht zu bedienen,N
18,Bereichsdirektoren,BereichsdirektorInnen,Y
18,Betriebskontrollor,Betriebskontrollorin bzw. -kontrollor,N
18,Bezirkskoordinator,Bezirkskoordinatorin bzw. - koordinator,N
18,Elektroingenieuren,Elektroingenieurinnen und Elektroingenieure,N
18,Fachbereichsleiter,Fachbereichsleiterin bzw. -leiter,N
18,Fachbereichsleiter,Fachbereichsleiterinnen und Fachbereichsleiter,N
18,Familienreferenten,FamilienreferentInnen,Y
18,Ferialpraktikanten,Ferialpraktikantinnen und Ferialpraktikanten,N
18,Fußgängerdurchgang,Durchgang,N
18,Hilfe eines Arztes,ärztliche Hilfe,N
18,Jugendombudsmänner,Jugendombudsleute,N
18,Kindergärtnerinnen,KindergartenpädagogInnen,Y
18,Lehrlingsausbilder,Lehrlingsausbilderin bzw. Lehrlingsausbilder,N
18,Leitender Referent,Leitende Referentin bzw. leitender Referent,N
18,Magistratsdirektor,Magistratsdirektorin bzw. -direktor,N
18,Maschinenschlosser,Maschinenschlosserin bzw. Maschinenschlosser,N
18,Maschinenschlosser,MaschinenschlosserInnen,Y
18,Maschinenschlosser,Maschinenschlosserinnen und Maschinenschlosser,N
18,Mittelschullehrern,MittelschullehrerInnen,Y
18,Mittelschullehrern,Mittelschullehrerinnen und Mittelschullehrern,N
18,Mutter-Kind-Gruppe,Eltern-Kind-Gruppe,N
18,Niederösterreicher,Niederösterreicherin bzw. Niederösterreicher,N
18,Niederösterreicher,NiederösterreicherInnen,Y
18,Niederösterreicher,Niederösterreicherinnen und Niederösterreicher,N
18,Personalentwickler,Personalentwicklerin bzw. -entwickler,N
18,Personalentwickler,PersonalentwicklerInnen,Y
18,Personalentwickler,Personalentwicklung,N
18,Personalreferenten,PersonalreferentInnen,Y
18,Praktikantenstelle,Praktikumsstelle,N
18,Projektkoordinator,Projektkoordinatorin bzw. -koordinator,N
18,Projektmitarbeiter,Projektmitarbeiterin bzw. Projektmitarbeiter,N
18,Projektmitarbeiter,Projektmitarbeiterin bzw. -mitarbeiter,N
18,Schlittschuhläufer,Schlittschuhläuferin bzw. Schlittschuhläufer,N
18,Schlittschuhläufer,SchlittschuhläuferInnen,Y
18,Schlittschuhläufer,Schlittschuhläuferinnen und Schlittschuhläufer,N
18,Staatsbürgerschaft,Staatsangehörigkeit,N
18,Staatsbürgerschaft,Nationalität,N
18,Stadtbaudirektoren,StadtbaudirektorInnen,Y
18,Steuerhinterzieher,Steuerhinterziehende,N
18,Stiftungsverwalter,Stiftungsverwalterin bzw. -verwalter,N
18,Telko-Beauftragter,Telko-Beauftragte bzw. -Beauftragter,N
18,Vermessungsgehilfe,Vermessungsgehilfin bzw. Vermessungsgehilfe,N
18,Verursacherprinzip,Verursachungsprinzip,N
17,Abteilungshelfern,Abteilungshelferinnen und Abteilungshelfern,N
17,Abteilungsleitern,Abteilungsleiterinnen und Abteilungsleitern,N
17,Apothekenlaborant,Apothekenlaborantin bzw. -laborant,N
17,Apothekenlaborant,ApothekenlaborantInnen,Y
17,Arbeitspsychologe,Arbeitspsychologin bzw. Arbeitspsychologe,N
17,Ausbildungsjurist,Ausbildungsjuristin bzw. Ausbildungsjurist,N
17,Beschwerdemanager,Beschwerdemanagerin bzw. Beschwerdemanager,N
17,Beschwerdemanager,BeschwerdemanagerInnen,Y
17,Besucherparkplatz,Besuchsparkplatz,N
17,Besucherparkplatz,Parkplatz für BesucherInnen,Y
17,Betriebsassistent,Betriebsassistentin bzw.- assistent,N
17,Betriebsinspektor,Betriebsinspektorin bzw. -inspektor,N
17,Betriebsvorstände,Betriebsvorständinnen und -vorstände,N
17,Bezirksamtsleiter,Bezirksamtsleiterin bzw. -amtsleiter,N
17,Bezirksamtsleiter,BezirksamtsleiterInnen,Y
17,Bezirkswahlleiter,Bezirkswahlleitung,N
17,Budgetkoordinator,Budgetkoordinatorin bzw. -koordinator,N
17,Bürgerbeteiligung,beteiligte Institutionen bzw. Beteiligung von Bürgerinnen und Bürgern,N
17,Bürgerversammlung,Versammlung von Bürgerinnen und Bürgern,N
17,Drogenkoordinator,Drogenkoordinatorin bzw. Drogenkoordinator,N
17,Elektroingenieure,Elektroningenieurinnen und Elektroingenieure,N
17,EU-Förderreferent,EU-Förderreferentin bzw. -referent,N
17,Fachbereitsleiter,Fachbereichsleitung,N
17,Familientherapeut,Familientherapeutin bzw. -therapeut,N
17,Fußgängerübergang,Zebrastreifen,N
17,Gartenwerkmeister,Gartenwerkmeisterin bzw. -meister,N
17,Gartenwerkmeister,GartenwerkmeisterInnen,Y
17,Gebietsreferenten,Gebietsreferentinnen bzw. -referenten,N
17,Generaldirektoren,GeneraldirektorInnen,Y
17,Generaldirektoren,Generaldirektorinnen bzw. Generaldirektor,N
17,Genossenschaftern,Genossenschafterinnen und Genossenschaftern,N
17,Geschäftsinhabern,Geschäftsinhaberinnen und Geschäftsinhabern,N
17,Handybeauftragter,Handybeauftragte bzw. -beauftragter,N
17,Hauskoordinatoren,HauskoordinatorInnen,Y
17,Hausprofessionist,Hausprofessionistin bzw. -professionist,N
17,Immobilienmaklern,Immobilienmaklerinnen und Immobilienmaklern,N
17,Institutsvorstand,Institutsvorständin bzw. -vorstand,N
17,Kehrbezirksleiter,Kehrbezirksleiterin bzw. -leiter,N
17,Konsumentenschutz,KonsumentInnenschutz,Y
17,Krankenschwestern,Krankenpflegepersonal,N
17,Krankenschwestern,Krankenschwestern und Krankenpfleger,N
17,Krankenschwestern,Krankenschwestern und Krankenpflegern,N
17,KTH-Administrator,KTH-Administratorin bzw. KTH-Administrator,N
17,Landeshauptmänner,Landeshauptleute,N
17,Landtagspräsident,Landtagspräsidentin bzw. Landtagspräsident,N
17,Lateinamerikanern,Lateinamerikanerinnen und Lateinamerikanern,N
17,Luftbildauswerter,AuswerterInnen von Luftbildern,Y
17,Luftbildauswerter,Luftbildauswerterin bzw. - auswerter,N
17,Mädchenmannschaft,Mädchenteam,N
17,Maschinenarbeiter,Maschinenarbeiterin und Maschinenarbeiter,N
17,Maschinenarbeiter,Maschinenarbeiterinnen und Maschinenarbeiter,N
17,Mittelschullehrer,Mittelschullehrerin bzw. Mittelschullehrer,N
